Winery;Year;Wine ID;Wine;Type;Rating;Num_Reviews;Price;Country;Region
São João;1980;76447;Porta dos Cavaleiros Dão Tinto 1980;Red;4.3;81;37.5;Portugal;Dão
São João;1985;76446;Frei João Reserva 1985;Red;4.0;75;28.0;Portugal;Bairrada
São João;1985;1689617;Porta dos Cavaleiros Dão Reserva Tinto 1985;Red;4.2;57;29.9;Portugal;Dão
Casa Ferreirinha;1989;75980;Reserva Douro 1989;Red;4.5;157;180.0;Portugal;Douro
Cabriz;1990;1148718;Dão Reserva 1990;Red;3.8;525;39.95;Portugal;Dão
São Domingos;1990;1802682;Garrafeira Dão 1990;Red;4.0;59;19.9;Portugal;Dão
Casa Ferreirinha;1992;75980;Reserva Douro 1992;Red;4.6;202;180.0;Portugal;Douro
São João;1995;1259564;Quinta do Poço do Lobo Reserva 1995;Red;4.2;409;19.5;Portugal;Bairrada
Cartuxa;1995;2545450;Pêra-Manca Tinto 1995;Red;4.8;244;690.0;Portugal;Alentejo
Antonio Bernardino Paulo da Silva;1996;1245309;Colares Chitas Tinto 1996;Red;4.1;112;59.0;Portugal;Colares
São João;1996;1665008;Quinta do Poço do Lobo Cabernet Sauvignon 1996;Red;4.3;547;25.0;Portugal;Beiras
Casa Ferreirinha;1996;75979;Reserva Especial Douro 1996;Red;4.5;62;320.0;Portugal;Douro
Quinta Grande;1997;1893290;Tinto 1997;Red;3.9;110;6.95;Portugal;Tejo
Cartuxa;1998;76431;Évora Colheita Tinto 1998;Red;4.4;81;79.0;Portugal;Alentejo
Antonio Bernardino Paulo da Silva;2000;1245309;Colares Chitas Tinto 2000;Red;3.9;176;39.5;Portugal;Colares
Quinta da Manuela;2000;1270402;Tinto 2000;Red;4.1;180;85.0;Portugal;Douro
Prats & Symington (P+S);2000;1240543;Chryseia Douro 2000;Red;4.4;236;149.0;Portugal;Douro
Quinta do Côtto;2001;22303;Grande Escolha 2001;Red;4.0;204;45.0;Portugal;Douro
Tapada do Chaves;2001;1225068;Reserva Tinto 2001;Red;4.2;124;27.5;Portugal;Alentejo
Niepoort;2001;8967;Douro Batuta Tinto 2001;Red;4.3;68;149.0;Portugal;Douro
Osvaldo Amado;2001;7962293;Raríssimo Tinto 2001;Red;4.3;92;74.9;Portugal;Dão
Quinta do Fojo;2001;1279000;Vinha do Fojo Tinto 2001;Red;4.4;466;50.0;Portugal;Douro
Vale da Corça;2001;1193416;Tinto 2001;Red;4.5;68;127.0;Portugal;Douro
Mouchão;2003;1174337;Colheitas Antigas 2003;Red;4.4;355;245.0;Portugal;Alentejo
Niepoort;2003;8967;Douro Batuta Tinto 2003;Red;4.4;116;99.0;Portugal;Douro
Cartuxa;2003;2545450;Pêra-Manca Tinto 2003;Red;4.6;771;420.0;Portugal;Alentejo
Quinta do Crasto;2003;1293594;Vinha Maria Teresa 2003;Red;4.6;121;390.0;Portugal;Douro
Filipa Pato;2004;1191950;Lokal Silex 2004;Red;3.9;54;39.9;Portugal;Beiras
Altas Quintas;2004;1182531;Tinto 2004;Red;4.4;110;21.65;Portugal;Alentejo
Azamor;2004;1596770;Icon d'Azamor 2004;Red;4.5;102;62.99;Portugal;Alentejo
Alves de Sousa;2004;1243980;Abandonado 2004;Red;4.6;57;350.0;Portugal;Douro
Reynolds Wine Growers;2004;5905758;Gloria Reynolds Cathedral 2004;Red;4.6;134;105.0;Portugal;Alentejo
Esporão;2004;1386245;Torre Tinto 2004;Red;4.6;85;590.0;Portugal;Alentejo
Eduardo da Costa Seixas;2005;1323370;Quinta de Santa Júlia Grande Escolha 2005;Red;3.7;71;12.9;Portugal;Douro
Agri-Roncão;2005;1606766;Quinta da Levandeira do Roncão Grande Reserva 2005;Red;4.2;93;19.95;Portugal;Douro
Quinta do Monte d'Oiro;2006;2173769;Têmpera Tinta Roriz 2006;Red;3.7;60;25.0;Portugal;Lisboa
Campolargo;2006;78245;Termeão Pássaro Branco Tinto 2006;Red;3.7;72;30.0;Portugal;Bairrada
Poeira;2006;1184120;Pó de Poeira Tinto 2006;Red;3.9;51;34.75;Portugal;Douro
Quinta do Portal;2006;1736466;Grande Reserva 2006;Red;4.0;55;45.3;Portugal;Douro
Herdade da Comporta;2007;1179267;Tinto 2007;Red;3.6;106;7.9;Portugal;Península de Setúbal
Sagrado;2007;1415543;Mutante Tinto 2007;Red;3.8;141;15.0;Portugal;Douro
Casa de Cello;2007;1377594;Quinta da Vegia Reserva 2007;Red;3.9;118;32.46;Portugal;Dão
Quinta S. João Batista;2007;1187390;Reserva Syrah 2007;Red;3.9;70;10.95;Portugal;Tejo
Herdade do Portocarro;2007;1203073;Tinto 2007;Red;3.9;98;14.9;Portugal;Península de Setúbal
Valle Pradinhos;2007;1236092;Tinto 2007;Red;3.9;164;33.8;Portugal;Trás-os-Montes
Grandjó;2007;1143321;Douro Late Harvest 2007;Dessert;4.0;256;69.89;Portugal;Douro
Quinta de Cidrô;2007;1246181;Cabernet Sauvignon - Touriga Nacional 2007;Red;4.1;123;24.95;Portugal;Douro
Niepoort;2007;8974;Douro Redoma Tinto 2007;Red;4.1;354;14.7;Portugal;Douro
Vale Barqueiros;2007;1446295;Limited Edition Garrafeira 2007;Red;4.1;72;39.95;Portugal;Alentejo
Casal Sta. Maria;2007;2530895;Ramisco Colares Tinto 2007;Red;4.1;52;36.0;Portugal;Lisboa
Abreu Callado;2007;2232470;Dom Cosme Reserva 2007;Red;4.2;89;24.99;Portugal;Alentejo
Quinta da Pellada;2007;1191944;Tinto 2007;Red;4.2;66;49.95;Portugal;Dão
Domaine Bento and Chapoutier;2007;1361103;Ex Aequo 2007;Red;4.3;159;49.0;Portugal;Lisboa
Altas Quintas;2007;1240272;Obsessão Tinto 2007;Red;4.4;200;99.5;Portugal;Alentejo
Churchill's;2007;1467162;Quinta da Gricha Vinhas Velhas 2007;Red;4.4;298;64.95;Portugal;Douro
Ramos Pinto;2007;1741942;Reserva Especial Duas Quintas Tinto 2007;Red;4.4;224;79.95;Portugal;Douro
Alves de Sousa;2007;1721323;Reserva Pessoal Tinto 2007;Red;4.4;164;85.0;Portugal;Douro
Casa Ferreirinha;2007;75979;Reserva Especial Douro 2007;Red;4.7;2401;225.0;Portugal;Douro
Quinta do Crasto;2007;1322600;Vinha da Ponte 2007;Red;4.7;153;390.0;Portugal;Douro
Quinta do Crasto;2007;1293594;Vinha Maria Teresa 2007;Red;4.7;433;480.0;Portugal;Douro
Vale do Rodo;2008;1395714;Cabeça de Burro Reserva 2008;Red;3.5;554;20.0;Portugal;Douro
Casa de Santa Vitoria;2008;2017939;Touriga Nacional 2008;Red;3.5;69;15.8;Portugal;Alentejo
Monte do Pintor;2008;1219923;Alentejano Tinto 2008;Red;3.6;847;39.9;Portugal;Alentejo
Quinta da Falorca;2008;1200201;T-nac 2008;Red;3.6;156;13.86;Portugal;Dão
Luis Pato;2008;86396;Beiras Quinta do Moinho 2008;Red;3.7;92;25.43;Portugal;Beiras
Baton;2008;1175940;Tom de Baton Tinto 2008;Red;3.7;174;17.95;Portugal;Douro
João M Barbosa;2008;1287360;Lapa dos Gaivões Escolha 2008;Red;3.8;75;14.95;Portugal;Alentejo
Quinta da Alorna;2008;1237004;Marquesa de Alorna Reserva Tinto 2008;Red;3.8;99;25.95;Portugal;Tejo
Encostas de Estremoz;2008;1644720;Reserva 2008;Red;3.8;136;28.0;Portugal;Alentejo
Quinta de Ventozelo;2008;1554251;Reserva Tinto 2008;Red;3.8;126;13.95;Portugal;Douro
Quinta das Tecedeiras;2008;1163127;Flor das Tecedeiras 2008;Red;3.9;79;42.0;Portugal;Douro
Herdade do Portocarro;2008;1203073;Tinto 2008;Red;3.9;163;14.9;Portugal;Península de Setúbal
Ervideira;2008;2045239;Conde d'Ervideira Private Selection Tinto 2008;Red;4.0;84;120.0;Portugal;Alentejo
Monte do Pintor;2008;1216585;Reserva Alentejano 2008;Red;4.0;334;22.95;Portugal;Alentejo
Quinta dos Murças;2008;1198198;Reserva Douro 2008;Red;4.1;513;20.0;Portugal;Douro
Lemos;2008;76414;Touriga Nacional 2008;Red;4.1;244;32.0;Portugal;Dão
Quinta das Brôlhas;2008;1319908;Touriga Nacional 2008;Red;4.1;122;15.0;Portugal;Douro
João M Barbosa;2008;1957956;Lapa dos Gaivões Grande Reserva 2008;Red;4.2;87;30.05;Portugal;Alentejo
